2020-06-25 12:39:57,687 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/input.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 12:39:57,688 [http-nio-7001-exec-8] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/search_input.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 12:39:57,695 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/search_active.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 12:39:57,814 [http-nio-7001-exec-4] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /favicon.ico, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:11:36,860 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.18.1/com.gx.service.DemoService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.gx.service.DemoService&version=*, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:11:37,008 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.18.1/com.gx.service.DemoService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.gx.service.DemoService&version=*, urls: [dubbo://192.168.18.1:20880/com.gx.service.DemoService?anyhost=true&application=provider&dubbo=2.6.2&generic=false&interface=com.gx.service.DemoService&methods=sayHello&pid=3296&side=provider&timestamp=1593061895595, empty://192.168.18.1/com.gx.service.DemoService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.gx.service.DemoService&version=*, empty://192.168.18.1/com.gx.service.DemoService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.gx.service.DemoService&version=*, empty://192.168.18.1/com.gx.service.DemoService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.gx.service.DemoService&version=*], dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:04,488 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.18.1/com.gx.service.DemoService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.gx.service.DemoService&version=*, urls: [dubbo://192.168.18.1:20880/com.gx.service.DemoService?anyhost=true&application=provider&dubbo=2.6.2&generic=false&interface=com.gx.service.DemoService&methods=sayHello&pid=3296&side=provider&timestamp=1593061895595, dubbo://192.168.18.1:20880/com.gx.service.DemoService?anyhost=true&application=provider&dubbo=2.6.2&generic=false&interface=com.gx.service.DemoService&methods=sayHello&pid=5356&side=provider&timestamp=1593061923253], dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:22,706 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:22,865 [http-nio-7001-exec-8] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /favicon.ico, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:30,963 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.18.1/com.gx.service.DemoService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.gx.service.DemoService&version=*, urls: [dubbo://192.168.18.1:20880/com.gx.service.DemoService?anyhost=true&application=provider&dubbo=2.6.2&generic=false&interface=com.gx.service.DemoService&methods=sayHello&pid=5356&side=provider&timestamp=1593061923253], dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:40,911 [http-nio-7001-exec-4] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/services, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:41,212 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/ico_search.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:41,229 [http-nio-7001-exec-7] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/nav_btn_bg3.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:41,230 [http-nio-7001-exec-10] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/dubbo_list_th.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:41,319 [http-nio-7001-exec-6] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/tip_choose.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:41,319 [http-nio-7001-exec-9] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/tip_confirm.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:41,322 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/tip_del.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:41,325 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/tip_succeed.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:45,177 [http-nio-7001-exec-8] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/applications, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:47,003 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/consumers, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:47,069 [http-nio-7001-exec-4] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/ico_disable.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:47,069 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/ico_enable.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:47,091 [http-nio-7001-exec-7] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/ico_cancel.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:47,091 [http-nio-7001-exec-10] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/ico_run.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:47,115 [http-nio-7001-exec-6] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/tab_active.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:52,040 [http-nio-7001-exec-9] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/addresses, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:57,710 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/nav_pass.png, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:12:58,483 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:13:16,461 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.18.1/com.gx.service.DemoService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.gx.service.DemoService&version=*, urls: [consumer://192.168.18.1/com.gx.service.DemoService?application=consumer&category=consumers&check=false&dubbo=2.6.2&interface=com.gx.service.DemoService&methods=sayHello&pid=8652&side=consumer&timestamp=1593061995535], dubbo version: 2.6.2, current host: 192.168.18.1
2020-06-25 13:13:16,966 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.18.1/com.gx.service.DemoService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.gx.service.DemoService&version=*, urls: [empty://192.168.18.1/com.gx.service.DemoService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.gx.service.DemoService&version=*], dubbo version: 2.6.2, current host: 192.168.18.1
